Match,Over 1,Over 2,Over 3,Over 4,Over 5,Over 6,Over 7,Over 8,Over 9,Over 10,Over 11,Over 12,Over 13,Over 14,Over 15,Over 16,Over 17,Over 18,Over 19,Over 20
Match 101,4/1,7/2,17/3,28/3,45/3,55/3,62/3,73/4,80/5,92/5,110/5,113/5,122/5,130/5,136/5,150/5,165/5,179/5,207/5,220/6
Match 102,6/0,14/1,19/1,23/1,40/1,40/2,49/2,52/3,60/3,69/3,73/3,74/5,77/5,87/5,90/7,90/9,91/9,98/9,103/9,115/9
Match 103,8/0,17/0,29/0,38/0,46/0,48/2,50/2,55/2,56/3,58/3,62/4,65/4,71/4,74/5,80/5,82/6,89/6,92/7,98/9,102/9
Match 104,3/1,4/2,11/2,14/3,18/3,24/4,35/4,42/4,47/4,52/4,61/4,63/5,72/5,77/5,116/5,119/5,134/5,153/5,164/7,174/9
Match 105,12/0,29/0,36/0,49/0,58/0,71/1,74/1,83/1,91/1,94/2,99/2,110/2,118/3,120/4,125/5,135/5,151/5,154/6,164/6,186/6
Match 106,5/0,11/0,16/0,23/0,34/0,39/0,47/0,61/0,63/1,76/1,90/1,104/1,117/1,125/1,128/3,133/3,149/4,159/5,191/5,206/6
Match 107,21/0,37/0,48/0,52/2,56/3,61/3,64/3,71/3,83/3,87/4,92/4,97/5,99/5,104/5,115/6,124/6,131/6,139/6,141/7,147/9
Match 108,2/0,9/0,12/1,21/1,28/1,34/1,42/1,47/1,53/1,60/2,68/2,84/2,93/3,101/3,116/3,126/3,134/4,146/4,157/5,170/6
Match 109,0/2,4/2,13/2,18/2,20/2,31/3,35/4,38/4,42/4,50/4,54/4,60/6,61/6,65/6,72/6,77/7,85/7,92/8,101/9,106/10
Match 110,2/0,9/0,20/0,26/0,35/0,43/1,58/1,74/1,84/2,90/2,94/2,99/3,108/4,111/4,129/4,143/4,147/4,160/5,164/5,179/6
Match 111,6/0,21/0,25/0,33/0,39/0,44/0,47/0,49/0,52/0,55/0,76/0,86/0,97/0,102/0,106/1,114/1,127/2,140/3,156/3,159/6
Match 112,17/0,24/0,41/0,44/1,54/1,56/2,59/2,68/2,73/2,85/2,97/2,102/2,113/2,126/2,131/2,139/2,146/2,159/4,168/6,178/6
Match 113,6/0,12/0,13/1,27/1,28/2,37/2,42/3,53/3,57/4,63/4,69/4,74/4,82/4,90/4,92/4,110/4,119/4,126/4,128/6,137/7
Match 114,4/0,5/1,16/1,24/1,36/1,51/1,56/2,61/2,65/2,71/2,77/2,82/2,86/4,98/4,112/4,119/4,124/4,131/5,152/5,158/5
Match 115,5/0,14/0,23/1,29/1,34/2,45/2,53/2,57/2,61/2,84/2,96/2,108/2,110/3,127/4,133/4,152/4,165/4,179/4,198/4,212/6
Match 116,6/0,13/0,27/0,39/0,46/0,59/0,74/0,85/0,98/0,110/0,124/0,131/0,137/1,150/1,156/1,163/2,176/4,179/5,187/6,195/6
Match 117,4/0,11/0,13/0,18/0,19/0,23/0,26/0,28/0,41/0,47/0,52/0,55/0,59/1,67/1,71/2,88/2,97/2,107/2,125/3,129/4
Match 118,2/1,6/1,20/1,25/1,36/2,38/3,42/3,44/3,51/3,59/3,63/3,68/4,72/5,74/5,78/6,80/7,91/8,97/9,104/10,N/A
Match 119,1/1,5/1,7/2,9/2,13/2,16/3,18/4,18/5,19/5,19/6,19/7,20/7,21/7,21/7,26/8,26/10,N/A,N/A,N/A,N/A
Match 120,6/0,22/0,32/0,38/0,45/0,54/0,61/1,67/1,75/1,84/1,90/2,101/2,105/3,118/3,124/3,134/3,153/3,163/3,168/4,178/4
Match 121,8/0,29/0,37/2,48/2,58/2,68/2,72/2,79/3,83/3,95/3,102/3,119/3,126/4,136/4,145/5,154/5,168/5,177/6,189/6,199/7
Match 122,2/0,10/0,18/0,35/0,46/1,46/2,48/2,54/2,54/2,56/3,60/3,60/4,62/5,65/5,68/5,76/5,89/5,94/7,100/7,104/9
Match 123,8/1,12/1,17/2,25/2,27/2,33/2,38/2,44/2,47/2,55/2,58/3,63/3,73/3,76/5,78/6,85/7,88/7,90/9,90/10,N/A
Match 124,0/0,14/0,20/0,27/0,29/0,38/0,42/0,48/0,57/0,68/1,70/1,77/2,81/3,83/5,91/5,93/5,100/5,108/5,112/7,122/8
Match 125,9/0,9/1,9/2,15/2,27/3,33/3,41/3,55/3,59/3,70/3,73/3,85/4,93/4,100/4,105/4,117/4,124/5,128/6,144/6,157/6
Match 126,12/0,19/1,31/1,48/1,57/1,63/1,65/3,69/3,74/3,78/3,87/3,93/3,96/4,100/4,109/4,112/6,118/6,137/6,148/6,159/6
Match 127,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Match 128,0/1,0/2,4/2,10/2,15/3,23/4,26/4,34/4,35/6,52/6,56/6,61/6,68/6,73/6,86/6,95/6,101/6,104/7,117/8,132/9
Match 129,3/1,7/1,16/1,18/1,30/1,36/2,39/2,43/2,46/3,51/4,56/5,59/5,66/5,68/6,77/6,81/7,88/7,93/7,99/7,104/9
Match 130,2/0,10/0,24/0,31/0,41/0,53/0,61/0,74/0,78/1,86/1,89/3,90/4,101/4,106/4,112/4,128/4,131/5,139/6,152/7,163/8
Match 131,4/0,8/1,12/1,23/1,34/1,40/1,53/1,64/1,74/1,86/1,92/2,96/2,102/3,105/3,110/3,116/3,124/3,133/3,147/4,158/5
Match 132,8/1,8/2,10/2,17/2,22/2,29/3,34/3,38/4,41/4,44/5,46/6,55/7,61/7,65/7,68/8,70/10,N/A,N/A,N/A,N/A
Match 133,10/0,17/0,22/1,26/1,43/1,58/2,69/2,80/2,94/2,100/3,101/3,105/3,111/4,114/4,117/5,123/5,130/6,133/8,139/9,141/10
Match 134,5/1,7/1,7/2,12/2,16/3,23/4,26/8,27/8,30/10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Match 135,1/0,13/1,18/2,29/2,39/2,52/2,69/2,82/3,101/3,122/5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Match 136,8/0,19/1,20/2,24/2,38/2,50/2,57/2,62/3,68/3,81/3,89/3,90/4,94/4,96/5,97/7,100/7,106/7,113/9,119/10,N/A
Match 137,5/0,17/0,21/2,30/2,35/4,40/5,48/6,53/6,58/6,61/6,68/7,76/7,86/7,93/7,99/7,109/7,112/8,125/8,132/8,134/10
Match 138,13/0,19/1,21/2,23/3,29/3,33/4,43/5,45/5,49/5,49/6,56/6,59/6,67/6,75/6,77/6,90/6,94/6,105/6,112/7,117/8
Match 139,2/0,14/0,20/0,41/0,51/0,63/0,69/0,75/0,80/0,87/1,89/1,92/2,98/2,107/3,115/4,128/4,133/4,141/4,155/4,163/6
Match 140,3/0,5/0,17/1,29/1,40/1,53/2,61/3,66/3,72/4,78/4,87/4,89/4,92/4,105/4,113/4,115/5,124/5,132/6,135/7,150/7
Match 141,9/0,11/1,13/2,22/2,25/3,26/3,35/4,38/4,44/4,47/6,54/7,59/7,62/8,62/10,N/A,N/A,N/A,N/A,N/A,N/A
Match 142,1/1,4/1,17/1,23/1,26/1,29/1,34/1,40/1,44/1,50/2,53/3,58/4,60/4,64/4,79/4,85/4,91/4,101/4,108/4,113/5
Match 143,2/0,11/0,16/1,21/1,33/1,38/1,45/2,55/2,59/2,62/3,68/3,71/3,77/3,92/3,97/3,110/3,128/4,143/4,161/5,174/5
Match 144,3/1,8/2,12/2,20/2,27/2,40/2,46/3,60/3,70/3,83/3,90/3,100/4,107/4,112/5,123/5,134/5,142/5,153/5,173/5,185/6
Match 145,5/0,7/0,9/1,11/1,14/1,18/1,24/1,24/2,25/4,28/6,29/6,29/7,30/8,31/9,32/9,38/9,44/9,45/10,N/A,N/A
Match 146,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Match 147,11/0,26/0,36/0,50/0,62/0,75/1,83/1,97/1,106/1,116/1,134/2,140/3,147/3,153/3,164/3,173/3,187/3,209/3,217/3,221/3
Match 148,3/0,9/1,11/1,12/2,19/2,23/3,28/3,34/3,36/4,37/5,43/5,46/6,48/7,54/7,59/7,61/8,62/9,65/9,74/9,77/9
Match 149,5/0,19/0,21/1,24/2,29/2,37/3,45/3,45/4,47/4,48/4,51/5,54/5,56/5,69/6,72/6,75/6,77/6,82/8,88/8,101/9
Match 150,16/0,26/0,43/0,50/0,57/0,62/0,65/1,68/1,71/2,74/3,80/3,82/4,88/4,88/4,95/5,98/6,106/6,115/7,128/7,137/7
Match 151,10/0,16/0,30/0,33/0,42/0,60/0,66/0,86/0,97/0,102/0,108/1,131/1,140/2,149/3,161/4,171/4,181/5,197/6,203/7,210/8
Match 152,17/0,27/0,28/0,40/1,41/2,48/2,55/2,57/2,59/3,65/3,73/3,80/3,91/3,103/3,111/3,123/3,130/3,142/5,149/6,153/9
Match 153,6/0,12/1,24/1,34/1,42/1,53/1,61/2,62/2,67/2,77/2,81/2,90/2,99/2,104/2,108/3,113/4,128/4,141/4,156/4,174/4
Match 154,1/0,5/1,10/1,13/1,26/1,41/1,51/1,60/2,67/2,73/2,91/2,102/2,106/3,118/3,126/4,138/4,146/5,154/5,157/7,168/8
Match 155,8/0,16/0,33/0,59/0,71/0,91/0,99/0,108/1,118/1,134/1,147/1,155/1,163/1,176/1,185/2,193/2,202/2,218/3,229/3,244/4
Match 156,5/0,9/0,11/0,17/0,29/0,40/0,48/0,52/0,56/0,64/0,74/0,83/0,96/0,104/0,109/0,119/1,122/3,126/4,141/4,148/6
Match 157,2/1,15/1,22/2,31/2,39/2,49/2,63/2,73/2,87/2,103/2,107/3,110/3,128/4,136/4,142/5,N/A,N/A,N/A,N/A,N/A
Match 158,10/0,15/1,16/2,17/4,20/4,27/4,34/4,40/4,45/6,47/6,55/6,63/6,69/7,71/7,77/8,84/8,87/8,90/9,94/9,95/10
Match 159,7/0,19/0,20/1,27/1,38/1,68/1,72/1,88/1,100/2,106/2,118/2,131/3,135/3,143/3,150/3,159/4,163/6,177/7,189/7,201/8
Match 160,15/1,17/1,33/1,38/2,40/3,44/3,49/3,56/3,64/3,75/3,80/3,95/3,101/3,105/3,113/4,122/4,131/4,137/5,153/5,167/6
Match 161,6/2,18/3,34/3,44/3,59/3,63/3,70/3,74/3,87/4,94/4,103/4,110/4,115/4,124/4,133/4,148/4,156/6,166/6,173/7,182/7
Match 162,1/0,4/1,6/2,14/2,21/2,23/3,38/3,49/3,61/5,68/5,75/5,88/5,98/5,109/6,N/A,N/A,N/A,N/A,N/A,N/A
Match 163,3/0,10/0,22/0,33/0,42/0,57/0,66/0,76/0,86/0,90/0,100/0,108/2,117/2,122/3,123/5,130/5,131/7,133/8,138/9,143/10
Match 164,5/0,16/0,19/0,26/0,43/0,50/1,58/1,62/1,64/1,69/1,77/1,80/3,86/3,96/3,108/3,113/5,116/5,147/5,160/5,177/5
Match 165,7/0,14/1,20/1,26/1,35/1,41/1,46/1,52/2,63/2,70/2,84/2,92/3,99/4,104/5,108/5,115/6,119/8,125/8,132/9,134/10
Match 166,16/0,27/0,53/0,60/1,66/2,74/2,76/2,84/2,92/2,103/2,116/2,130/3,145/3,149/3,158/3,170/3,191/3,204/4,217/5,223/7
Match 167,5/0,8/1,18/1,33/1,38/1,45/1,56/1,72/1,79/1,91/2,105/2,107/3,118/4,124/4,134/5,140/5,148/6,160/6,171/6,187/7
Match 168,0/1,6/1,12/2,16/3,19/4,23/4,33/4,36/4,43/4,49/4,61/4,65/5,72/5,82/5,86/6,90/6,98/6,105/6,111/8,119/9
Match 169,3/2,8/2,12/3,19/3,29/3,36/3,37/4,41/4,52/4,60/4,64/4,68/5,72/5,74/5,78/5,83/6,89/6,97/8,101/9,109/10
Match 170,6/0,19/1,20/2,23/2,40/2,53/2,56/2,59/2,71/2,88/2,100/2,108/2,113/2,126/2,134/2,148/3,152/4,164/4,176/6,192/7
Match 171,12/0,17/0,21/0,27/0,42/0,48/0,51/0,58/1,61/1,77/1,86/1,96/3,103/3,109/3,119/4,137/5,153/5,163/5,166/5,174/7
Match 172,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Match 173,11/0,26/0,28/0,38/0,55/0,64/0,73/0,80/1,88/1,98/1,112/1,122/2,126/3,146/3,156/3,174/3,193/3,203/4,212/5,225/6
Match 174,0/0,5/0,6/0,13/1,20/1,22/2,28/3,29/3,33/4,37/4,41/5,41/5,48/5,50/6,51/6,55/6,59/6,63/7,68/7,72/8
Match 175,5/0,14/0,18/1,24/2,27/2,32/3,39/3,46/4,53/5,64/5,70/5,81/5,85/5,96/5,100/5,106/6,119/6,125/7,129/8,139/9
Match 176,3/0,16/0,21/1,27/1,30/2,35/3,41/3,46/3,53/3,55/3,61/4,68/4,75/5,80/5,82/7,83/8,90/9,94/9,99/9,100/10
Match 177,3/0,11/1,16/1,21/1,29/1,38/1,48/1,58/1,66/1,76/1,91/1,92/2,105/2,113/2,116/4,130/5,138/5,151/6,163/6,182/6
Match 178,4/1,17/1,23/1,31/1,43/1,58/1,65/1,72/1,85/1,88/1,98/1,112/1,125/2,138/2,148/3,166/3,180/3,195/3,201/3,215/3
Match 179,2/0,13/0,14/0,21/0,28/0,34/1,41/1,46/1,52/1,58/1,68/1,75/2,82/2,97/2,105/2,112/2,118/3,127/3,140/3,145/4
Match 180,5/0,8/0,15/0,19/1,26/2,32/2,35/2,41/3,44/3,55/3,66/3,71/4,74/4,77/4,96/4,105/5,111/5,121/5,131/5,147/5
Match 181,8/1,15/1,15/1,20/1,26/1,36/1,45/1,50/1,62/1,66/1,77/1,81/2,89/2,92/2,100/2,103/2,118/2,120/2,125/2,127/2
Match 182,0/1,0/1,4/2,15/2,20/2,24/2,26/2,29/3,35/3,39/3,46/4,52/4,61/4,71/5,72/5,77/5,84/6,88/6,90/8,97/8
Match 183,5/0,16/0,21/1,23/2,29/2,35/3,42/3,49/3,50/5,56/5,59/5,65/6,69/6,73/6,76/7,79/8,84/8,90/9,90/10,N/A
Match 184,0/1,2/3,4/3,8/3,14/3,15/3,24/3,28/3,37/4,40/4,54/4,58/4,63/5,70/5,73/6,78/6,84/6,98/6,103/6,110/6
Match 185,3/0,13/0,15/0,22/1,29/1,37/3,39/3,43/3,45/3,53/3,56/4,65/5,69/5,77/5,83/6,86/6,93/7,104/7,112/7,123/8
Match 186,8/1,18/1,27/1,36/1,43/2,51/3,55/3,63/4,77/4,82/4,92/4,101/4,105/4,127/4,139/5,146/6,153/7,155/8,160/10,N/A
Match 187,0/2,2/2,3/3,4/3,4/5,5/7,7/8,7/8,9/9,10/10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Match 188,12/0,18/0,24/1,32/1,38/1,46/3,52/3,56/3,58/3,61/3,67/3,71/3,78/4,80/4,90/4,101/4,104/4,118/4,123/5,133/7
Match 189,5/0,6/1,35/1,37/1,52/1,60/1,76/1,93/2,102/2,114/2,127/2,131/3,142/3,155/3,162/4,166/4,171/4,181/4,195/5,205/5
Match 190,4/0,16/0,33/0,41/0,55/0,67/0,75/0,89/0,98/0,111/0,124/0,141/0,142/1,149/1,174/1,180/2,195/2,204/2,223/2,236/6
Match 191,2/0,3/0,5/1,10/1,17/1,26/1,31/1,34/2,41/2,44/3,49/3,51/4,55/5,56/5,61/5,68/5,75/5,90/5,94/6,101/8
Match 192,8/1,17/1,19/1,28/1,33/2,40/3,42/4,45/4,54/5,55/5,66/5,74/5,79/5,91/5,100/5,105/6,117/7,123/7,137/7,146/7
Match 193,0/0,0/0,10/1,10/2,11/2,12/2,20/2,22/3,22/3,23/3,25/4,27/5,29/5,30/7,30/7,30/7,32/7,39/7,41/10,N/A
Match 194,5/0,11/0,22/2,30/2,33/3,35/4,50/4,54/4,63/4,75/4,81/4,85/4,88/5,93/5,100/5,104/5,130/5,142/6,148/6,158/6
Match 195,5/0,16/1,22/1,26/2,36/2,55/2,67/2,79/2,90/2,100/2,109/2,117/3,128/3,144/3,148/3,152/3,162/3,176/3,180/4,196/4
Match 196,4/1,10/1,18/1,37/1,51/1,64/1,69/2,75/2,85/3,92/3,95/4,106/4,112/4,123/4,132/4,141/4,153/4,161/5,172/6,175/9
Match 197,6/0,17/0,24/0,32/0,40/0,49/0,54/0,66/0,70/1,77/1,83/1,87/2,91/3,101/3,111/3,126/3,138/4,146/6,157/6,167/8
Match 198,5/0,10/0,11/1,21/1,23/2,26/2,30/2,39/2,42/3,45/3,49/3,56/3,60/3,72/3,79/3,85/3,94/3,97/4,106/5,113/6
Match 199,4/0,11/1,17/1,23/3,39/3,58/3,61/4,68/4,71/5,81/5,96/5,100/5,109/6,117/7,129/8,141/8,152/8,162/8,166/9,182/9
Match 200,2/1,8/1,17/1,26/1,38/1,44/2,61/2,69/2,78/2,87/3,96/3,103/3,126/3,134/3,148/3,163/3,173/3,190/3,201/3,216/3
Match 201,6/0,21/0,39/0,47/1,52/1,57/2,62/2,66/2,80/2,85/2,100/2,104/4,111/4,118/4,122/4,125/6,129/8,135/8,142/9,148/10
